observation_mode,observation_noise,n_sensors,convmultiplus,fnobase,snn,snnplus,best_model,best_non_spiking,best_spiking,best_spiking_model,spiking_minus_best_non_spiking,spiking_ratio_vs_best_non_spiking
activation_samples,0.0,0,0.0009171233685476666,0.001778387016168,0.00286465877767,0.0024172768668066663,convmultiplus,0.0009171233685476666,0.0024172768668066663,snnplus,0.0015001534982589998,2.635716142131025
activation_samples,0.0,4,0.0006452266554096667,0.0005368598512373333,0.00240450353901,0.002378544501756667,fnobase,0.0005368598512373333,0.002378544501756667,snnplus,0.0018416846505193334,4.430475656308982
activation_samples,0.0,8,0.0006932019845373333,0.0016207848164373334,0.0024067397586333334,0.002392606595613333,convmultiplus,0.0006932019845373333,0.002392606595613333,snnplus,0.001699404611076,3.4515287736953617
activation_samples,0.0,12,0.0006667708521833335,0.001720912327105,0.0024029266586,0.0024009129680433333,convmultiplus,0.0006667708521833335,0.0024009129680433333,snnplus,0.0017341421158599997,3.6008067242015325
activation_samples,0.0001,0,0.000949729005081,0.0017848202069336667,0.002883188780566667,0.0024366899231066668,convmultiplus,0.000949729005081,0.0024366899231066668,snnplus,0.0014869609180256666,2.565668638180475
activation_samples,0.0001,4,0.0006473585089946666,0.000536237865636,0.0024071405393933333,0.0023895107167633332,fnobase,0.000536237865636,0.0023895107167633332,snnplus,0.001853272851127333,4.456064873242914
activation_samples,0.0001,8,0.0006940459410313334,0.0013544924427433332,0.0024151301817566667,0.0024037424765699996,convmultiplus,0.0006940459410313334,0.0024037424765699996,snnplus,0.001709696535538666,3.4633766073152215
activation_samples,0.0001,12,0.000665005086117,0.0018549387413063334,0.0024121961166333333,0.0023980214653,convmultiplus,0.000665005086117,0.0023980214653,snnplus,0.001733016379183,3.6060197363334088
activation_samples,0.001,0,0.0009953209165873332,0.0018263893338969998,0.0030126521638300006,0.0024739425006666664,convmultiplus,0.0009953209165873332,0.0024739425006666664,snnplus,0.0014786215840793331,2.4855727026707104
activation_samples,0.001,4,0.0007966220873283333,0.0014576435054836669,0.0024955840395266666,0.00248834930316,convmultiplus,0.0007966220873283333,0.00248834930316,snnplus,0.0016917272158316668,3.123625797905362
activation_samples,0.001,8,0.0007846026795796666,0.001438314346397,0.0025248967437966666,0.00252417637851,convmultiplus,0.0007846026795796666,0.00252417637851,snnplus,0.0017395736989303336,3.217139635391344
activation_samples,0.001,12,0.000725339173982,0.00183428706393,0.002502838531233333,0.002503085567816667,convmultiplus,0.000725339173982,0.002502838531233333,snn,0.0017774993572513332,3.4505768073894814
event_traces,0.0,0,0.0006084273910469999,0.0007440880171556666,0.000838410541712,0.000624705583319,convmultiplus,0.0006084273910469999,0.000624705583319,snnplus,1.6278192272000075e-05,1.0267545355641996
event_traces,0.0,4,0.0019132729877766666,0.00201692884418,0.0024135206572166667,0.00192115839978,convmultiplus,0.0019132729877766666,0.00192115839978,snnplus,7.88541200333337e-06,1.0041214254597806
event_traces,0.0,8,0.0017246228220566668,0.00177456989038,0.0018896020340066668,0.0017501469707466666,convmultiplus,0.0017246228220566668,0.0017501469707466666,snnplus,2.5524148689999842e-05,1.0147998439795443
event_traces,0.0,12,0.0010255895562246667,0.0012529919264633333,0.00139493221915,0.0012021410172733333,convmultiplus,0.0010255895562246667,0.0012021410172733333,snnplus,0.00017655146104866653,1.1721463132859662
event_traces,0.0001,0,0.0005880652563749999,0.000761625137943,0.0008253619847156667,0.0006192230390823333,convmultiplus,0.0005880652563749999,0.0006192230390823333,snnplus,3.115778270733338e-05,1.0529835462468888
event_traces,0.0001,4,0.00191251294943,0.0019757860126533335,0.0024300099814366666,0.0019230072310500001,convmultiplus,0.00191251294943,0.0019230072310500001,snnplus,1.0494281620000104e-05,1.0054871689225047
event_traces,0.0001,8,0.0017222219582533331,0.0017699546806933333,0.0018854270290833332,0.0017466915870533331,convmultiplus,0.0017222219582533331,0.0017466915870533331,snnplus,2.446962879999997e-05,1.0142081737390092
event_traces,0.0001,12,0.0010227274470273333,0.0012467489176433333,0.0014022329887566666,0.00119898762837,convmultiplus,0.0010227274470273333,0.00119898762837,snnplus,0.0001762601813426667,1.1723432590520435
event_traces,0.001,0,0.000594060990079,0.0007585545121189999,0.00139609727066,0.0006418287467543333,convmultiplus,0.000594060990079,0.0006418287467543333,snnplus,4.776775667533328e-05,1.0804088426492724
event_traces,0.001,4,0.0019110470282666667,0.0020803073600233336,0.0025097334701799996,0.001958107167546667,convmultiplus,0.0019110470282666667,0.001958107167546667,snnplus,4.7060139280000104e-05,1.0246253172129856
event_traces,0.001,8,0.0017232992357966669,0.0017662057300399999,0.0018931195385733332,0.0018242132508166666,convmultiplus,0.0017232992357966669,0.0018242132508166666,snnplus,0.00010091401501999969,1.0585586141534775
event_traces,0.001,12,0.0010199179212556665,0.00123669281537,0.0014505589852433333,0.0012922686077166668,convmultiplus,0.0010199179212556665,0.0012922686077166668,snnplus,0.0002723506864610002,1.2670319648131068
